sample_key,case_id,suggested_method,proposed_new_category,reason
26,book3_r1\106.json,数学计算\事件发生概率及独立性,,该问题要求计算在负二项分布（等待第5次成功恰好发生在第15到第20次试验之间）框架下的概率。这属于根据概率分布和概率规则计算特定事件发生概率的问题，核心是利用负二项分布的PMF对指定范围求和，符合'事件发生概率及独立性'这一二级类目的定义。
27,book3_r1\107.json,数学计算\事件发生概率及独立性,,该问题要求计算从22人中随机选6人时，恰好选出3女3男的概率，并与其他组合的概率进行比较，判断该事件是否最可能发生。这属于基于组合计数和概率规则计算特定事件发生概率的问题，符合'事件发生概率及独立性'类目的定义（根据概率规则、分布假设计算事件概率）。虽然涉及组合计算，但问题的核心目标是计算和比较事件概率，而非单纯计算状态数。
28,book3_r1\107.json,数学计算\事件发生概率及独立性,,该问题要求计算从10名女生和12名男生中随机选6人时，恰好选中2女4男的概率，并判断这是否是最可能的组合。这属于基于组合计数和超几何分布计算特定事件发生概率的问题，符合'事件发生概率及独立性'类目的定义，即'根据概率规则、分布假设或列联结构计算事件概率'。
29,book3_r1\108.json,数学计算\事件发生概率及独立性,,该问题给定了指数分布的参数λ，要求计算电池寿命超过5000小时的概率，即P(X>5000)=e^(-λ*5000)。这是一个在已知分布假设下，根据概率分布的定义直接计算事件发生概率的问题，属于'事件发生概率及独立性'类目。
30,book3_r1\108.json,数学计算\事件发生概率及独立性,,该问题要求在已知指数分布参数的情况下，计算条件概率 P(T > 5000 | T > 3000)。这是一个典型的条件概率计算问题，利用指数分布的无记忆性质（memoryless property），属于根据分布假设和概率规则计算事件概率的范畴，与'事件发生概率及独立性'二级类目中'条件概率'的描述完全吻合。
31,book3_r1\109.json,数学计算\事件发生概率及独立性,,该问题要求在独立伯努利试验（几何分布）下，计算在前四次试验之前（即少于四次试验内）发生首次失败的概率。这属于根据概率规则和独立性假设计算事件发生概率的问题，与'事件发生概率及独立性'二级类目完全吻合。
38,book3_r1\110.json,数学计算\事件发生概率及独立性,,本题要求在已知每个继电器维修时间服从指数分布（参数λ=19/h）的前提下，计算10个继电器由一个维修人员依次修复的总维修时间超过3/4小时的概率。核心任务是根据分布假设（10个独立指数随机变量之和服从Gamma分布）计算特定事件的概率值P(S>3/4)。这属于'根据概率规则、分布假设计算事件概率'的典型问题，与'事件发生概率及独立性'二级类目定义高度吻合。
39,book3_r1\111.json,数学计算\事件发生概率及独立性,,该问题的核心是：在各单元独立失效（概率为1-p）的假设下，计算失效单元数不超过2（即技术员在2s时间内能修好）的概率。这属于基于独立性假设，利用二项分布概率规则计算特定事件（仪器在2s内修复完毕）发生概率的问题，完全符合'事件发生概率及独立性'的定义——'根据概率规则、分布假设计算事件概率，并涉及事件之间是否独立'。
41,book3_r1\112.json,假设检验与区间估计\检验性质分析,,该问题描述了一个假设检验场景（判断硬币是公平的还是有偏的），并要求在硬币实际公平的情况下计算得出错误结论的概率，即计算第一类错误（Type I error）的概率。这属于分析假设检验的基本性质（显著性水平、犯错概率），正好对应'检验性质分析'这一二级类目。虽然计算过程使用了正态近似，但问题的核心目标是求假设检验的错误概率，而非推导分布本身。
42,book3_r1\113.json,数学计算\事件发生概率及独立性,,本题需要根据超几何分布计算在不放回抽样条件下，样本中至多有1个次品的概率。这属于根据概率规则和分布假设计算特定事件发生概率的问题，直接对应'事件发生概率及独立性'这一二级类目。
43,book3_r1\114.json,数学计算\事件发生概率及独立性,,本题需要根据二项分布计算事件概率：6位预订乘客各自独立地以0.7的概率出现，求出现人数超过4人（即至少5人出现，导致至少1人无法被容纳）的概率。这属于根据概率规则和分布假设计算特定事件发生概率的问题，且涉及乘客独立出现的独立性假设，完全符合'事件发生概率及独立性'这一二级类目的定义。
45,book3_r1\116.json,数据分布建模\MLE,,"该问题明确要求对均匀分布 [c-d, c+d] 的参数 c 和 d 求最大似然估计量（MLE）。这属于'数据分布建模'下的'MLE'二级类目，即假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题。题目给出了失效时间数据，要求推导均匀分布参数的MLE，完全符合该类目的定义。"
46,book3_r1\116.json,数据分布建模\MLE,,问题要求对假设服从均匀分布的失效时间数据，使用最大似然法（MLE）估计未知参数c和d。这正是'数据分布建模\MLE'二级类目的定义：假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题。
47,book3_r1\117.json,假设检验与区间估计\分布检验,,本题要求使用卡方检验来检验五天中每天的期望顾客数是否相同，这本质上是一个卡方拟合优度检验（Chi-square goodness-of-fit test）问题——检验观测频数与期望频数（均匀分布下各天相等）是否一致。'分布检验'二级类目明确包含'卡方拟合优度检验'，与本题完全匹配。
48,book3_r1\118.json,假设检验与区间估计\分布检验,,该问题要求使用卡方检验来检验骰子是否公平，即检验观测频数是否符合均匀分布（每面概率为1/6）的理论分布。这属于卡方拟合优度检验（Chi-square goodness-of-fit test），正好对应'分布检验'二级类目的定义：'检验数据是否符合某种理论分布的问题，包括卡方拟合优度检验'。
49,book3_r1\119.json,假设检验与区间估计\分布检验,,本题要求使用卡方检验判断今年观测到的各类别比例（报废、返工、合格）是否与去年的理论比例一致，这属于卡方拟合优度检验（Chi-square goodness-of-fit test），即检验观测数据是否符合某种已知的理论分布，正好对应'分布检验'这一二级类目。
50,book3_r1\12 (1).json,描述性统计量\分散程度测度,,该问题的核心任务是根据均值极差（mean range）和查表得到的 d_n 值来估计标准差 σ（σ = w̄ / d_n）。标准差是衡量数据离散程度的经典指标，属于'用单个或少量指标概括数据离散程度'的范畴。虽然使用了均值极差法这一特定估计技巧，但最终目标仍然是获得一个分散程度测度（标准差），因此归入'描述性统计量 > 分散程度测度'最为贴切。
56,book3_r1\121.json,数据分布建模\MLE,,问题要求基于给定的概率密度函数，通过最大化似然函数来求参数λ的最大似然估计量（MLE）。这正是'数据分布建模\MLE'二级类目的定义：假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题。
57,book3_r1\121.json,数据分布建模\MLE,,题目明确给出了参数化的概率密度函数 f(t)=(1+λ)t^λ，并要求根据观测数据通过最大似然估计（MLE）方法求解参数 λ 的估计值。这正是'数据分布建模'下'MLE'二级类目的定义：假设数据来自某参数化分布，通过最大化似然函数估计参数。
60,book3_r1\122.json,数据分布建模\MLE,,"该问题明确要求对平移指数分布的参数 α 和 β 进行最大似然估计（MLE）。题目假设数据来自给定的参数化密度函数（平移指数分布），并要求通过最大化似然函数求解未知参数，这与""数据分布建模 → MLE""的定义——'假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题，包括正态、泊松、指数、Weibull 等分布拟合'——完全吻合。虽然""数值计算 → 获取模型参数估计值""也涉及参数求解，但本题的核心在于以 MLE 方法对分布进行建模与参数估计，属于分布拟合问题，因此'MLE'是最贴切的二级类目。"
61,book3_r1\123.json,假设检验与区间估计\分布检验,,该问题使用卡方拟合优度检验（Chi-square goodness-of-fit test）来检验五天中每天的期望顾客数是否相同，即观测频数是否符合均匀分布的理论频数。这属于'分布检验'类目，即检验数据是否符合某种理论分布（此处为均匀分布），卡方拟合优度检验正是该类目的典型方法。
62,book3_r1\124.json,数值计算\获取模型参数估计值,,该问题要求使用矩估计法（Method of Moments）来估计参数θ，即通过令总体矩等于样本矩来求解参数估计值。现有taxonomy中'数值计算\获取模型参数估计值'看似相关，但其描述侧重于'在给定模型、样本和估计准则后，通过解析或数值方法求参数估计'，且举例主要是回归系数、EM迭代等。而'数据分布建模\MLE'专门针对最大似然估计。矩估计（Method of Moments）是一种与MLE并列的经典参数估计方法，在统计学教材中有独立的重要地位。当前taxonomy中没有专门对应矩估计的类目，建议在'数据分布建模'或'数值计算'下新增'矩估计'类目，以覆盖此类问题。
63,book3_r1\124.json,数据分布建模\MLE,,该问题明确要求对给定参数化密度函数 f(x)=(θ+1)x^θ，通过最大化似然函数求参数 θ 的最大似然估计量，并利用样本数据计算估计值。这与'数据分布建模'下'MLE'二级类目的定义——'假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题'——完全吻合。
64,book3_r1\125.json,数值计算\获取模型参数估计值,,"本题给定了均匀分布 U[0, θ] 模型、观测样本以及矩估计（method of moments）这一估计准则，要求通过令样本矩等于总体矩来求解分布参数 θ 的估计值。这正符合'数值计算 > 获取模型参数估计值'的定义：'在给定模型、样本和估计准则后，通过解析或数值方法求参数估计的问题，包括求回归系数、分布参数、极值点、EM 迭代结果等。'矩估计属于经典参数估计准则之一，求解分布参数 θ 完全落入该类目范畴。虽然 taxonomy 中有'MLE'类目，但 MLE 专指最大似然估计，而本题明确要求使用矩估计法，因此'获取模型参数估计值'更为合适。"
65,book3_r1\125.json,数据分布建模\MLE,,"该问题明确假设数据来自均匀分布 U[0, θ]，并要求通过最大化似然函数来估计参数 θ。这完全符合""数据分布建模 > MLE""的定义：'假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题'。虽然""数值计算 > 获取模型参数估计值""也涉及参数估计，但本题的核心是对分布进行参数化建模并用极大似然方法拟合，属于经典的分布拟合MLE问题，因此""MLE""是最贴切的二级类目。"
68,book3_r1\127.json,数据分布建模\MLE,,本题明确要求对指数分布参数 λ 进行最大似然估计（MLE）。问题假设单元寿命服从参数化的指数分布 f(x)=λe^{-λx}，并根据观测到的 24 小时后存活数（二项分布，存活概率为 e^{-24λ}）构造似然函数，通过最大化似然来估计 λ。这完全符合'数据分布建模 > MLE'的定义：'假设数据来自某参数化分布，并通过最大化似然函数估计参数的问题，包括正态、泊松、指数、Weibull 等分布拟合。'指数分布还被明确列为该类目的典型例子。
69,book3_r1\128.json,假设检验与区间估计\序贯检验,,"该问题明确使用了序贯检验（sequential testing plan），即在数据逐个收集的过程中，根据累积观测结果逐步判断是否接受或拒绝原假设。题目涉及设定两个假设H0和H1下的错误概率（α=0.05, β=0.20），并基于序贯概率比检验（SPRT）的框架，对逐条观测数据计算累积似然比以做出接受或拒绝的决策。这完全符合'假设检验与区间估计\序贯检验'二级类目的定义。"
70,book3_r1\129.json,假设检验与区间估计\序贯检验,,题目明确要求使用序贯检验方案（sequential testing plan），根据逐个观测的数据依次判断是否接受或拒绝假设。这正是SPRT（Sequential Probability Ratio Test）的典型应用场景，完全对应taxonomy中'假设检验与区间估计'下的'序贯检验'二级类目。
74,book3_r1\131.json,数值计算\获取模型参数估计值,,本题给定了一个参数化概率密度函数（Gamma 族分布，参数为 λ），以及一组随机样本，要求使用矩估计法（method of moments）求解参数 λ 的估计量。这属于'在给定模型、样本和估计准则后，通过解析或数值方法求参数估计'的问题，与'数值计算 > 获取模型参数估计值'的定义高度吻合——该类目明确涵盖'分布参数'的求解，且不限于特定估计准则（MLE、矩估计等均适用）。相比之下，'数据分布建模 > MLE'仅限于最大似然估计，不适用于矩估计问题。
75,book3_r1\131.json,数据分布建模\MLE,,该问题给出了一个参数化的概率密度函数 f(x)=0.5λ³x²e^{-λx}（即 Gamma 分布，形状参数为 3），并提供了 5 个观测数据，要求据此估计分布参数 λ。这是典型的'假设数据来自某参数化分布，通过最大化似然函数估计参数'的问题，完全符合'数据分布建模 > MLE'的定义。虽然题目未明确写出'MLE'，但在给定参数化 PDF 与样本数据后求参数估计值，是 MLE 的经典应用场景。
78,book3_r1\133.json,数学计算\其它,,该问题要求根据各部件的失效率（常数风险率）和系统逻辑结构（电源 + 至少一个发射机工作），推导负载共享冗余系统的可靠度函数 R(t)。这属于系统可靠性工程中的经典 Markov 状态转移建模问题：需定义系统状态（两台发射机均工作、仅A工作、仅B工作、系统失效等），建立状态转移速率矩阵，并求解微分方程得到 R(t)。现有 taxonomy 中最接近的两个类目均不适合：（1）'生存分析'侧重于对观测到的事件时间数据（含删失）的统计分析（如 KM 曲线、Cox 模型），而本问题是基于已知部件失效率的理论推导，不涉及数据分析；（2）'描述性统计量 > 其它（如 reliability）'侧重于测量信度（如 Cronbach's alpha），与系统可靠性无关；（3）'事件发生概率及独立性'侧重于静态概率计算，无法涵盖本题中时间依赖的、具有状态转移依赖结构的可靠度函数推导。因此建议新增'系统可靠性建模'类目，涵盖基于部件失效率与系统结构推导系统可靠度函数、可用度函数或 MTTF 等问题。
79,book3_r1\133.json,数学计算\其它,,该问题涉及一个负载共享系统的平均失效时间（MTTF）计算，属于可靠性工程中的系统可靠性分析问题。系统由多个组件组成，组件之间存在依赖故障关系（负载共享导致故障率变化），需要通过马尔可夫模型或系统可靠性理论推导系统级的MTTF。现有taxonomy中，'期望'类目虽然涉及期望值计算，但它侧重于一般随机变量的数学期望，而本题的核心在于系统可靠性建模（状态转移、依赖故障、负载共享机制）后求MTTF，属于可靠性工程的专门方法。'生存分析'类目关注的是从数据出发的生存函数估计与风险建模，而本题是基于已知故障率参数的解析推导，也不完全匹配。因此建议新增'系统可靠性分析'类目，涵盖系统MTTF/MTBF计算、可靠性框图、马尔可夫可靠性模型、负载共享模型等问题。
80,book3_r1\134.json,数学计算\事件发生概率及独立性,,"该问题的核心是：已知 5 个水泵相互独立，每个水泵的可靠性（即正常运行的概率）为 0.995，系统在至少 4 个水泵正常时才能运行，求系统可靠性（即系统正常运行的概率）。这是一个典型的基于独立性假设和二项概率规则计算复合事件概率的问题：P(X≥4) = P(X=4) + P(X=5)，其中 X ~ Binomial(5, 0.995)。该问题完全符合""事件发生概率及独立性""的定义——'根据概率规则、分布假设计算事件概率，并判断事件之间是否独立'。虽然""描述性统计量 > 其它（如 reliability）""中提到了 reliability，但那里的 reliability 指的是量表内部一致性（如 Cronbach's alpha）等数据概括性指标，而非工程系统可靠性概率计算，因此不适用。"
81,book3_r1\135.json,数学计算\事件发生概率及独立性,,"本题要求在已知每个单元独立工作、可靠度为 p 的前提下，计算在 2s 时间内仪器修好（即故障单元数不超过 2）的概率。这是一个典型的基于独立性假设和二项分布计算事件发生概率的问题：k 个单元各自独立地以概率 (1-p) 失效，失效数 X ~ Binomial(k, 1-p)，需求 P(X ≤ 2)。该问题的核心在于利用概率规则（独立性、二项分布公式）计算特定事件的概率，完全符合'事件发生概率及独立性'这一二级类目的定义。"
83,book3_r1\136.json,数学计算\事件发生概率及独立性,,该问题的核心是基于独立性假设，利用二项分布和乘法规则计算复合事件（系统可靠性）的概率。具体而言，需要分别计算 m 个 I 型部件中至少 2 个正常工作的概率（二项分布尾概率）和 n 个 II 型部件中至少 2 个正常工作的概率，再利用两类部件相互独立的条件将两者相乘，得到整个设备的可靠度。这属于典型的'根据概率规则与独立性假设计算事件概率'的问题，与'事件发生概率及独立性'二级类目的定义高度吻合。虽然 taxonomy 中'描述性统计量 > 其它（如 reliability）'提及了 reliability，但该类目指的是 Cronbach's alpha 等数据特征概括指标，而非工程系统可靠度的概率计算。
84,book3_r1\136.json,数学计算\事件发生概率及独立性,,该问题的核心是在独立性假设下，利用二项分布和概率规则计算一个由多个独立单元组成的系统的可靠性（即系统正常运行的概率）。具体而言，需要分别计算m个I型单元中至少2个正常工作的概率和n个II型单元中至少2个正常工作的概率，再利用独立性将两者相乘得到系统可靠性。这属于根据概率规则和分布假设计算事件概率并利用独立性条件的问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
85,book3_r1\137.json,数学计算\事件发生概率及独立性,,该问题要求根据已知的元件故障率λ、独立性假设以及系统结构（2/3冗余含待机），利用概率规则推导系统可靠性函数R(t)。核心方法是：基于指数分布假设，利用独立分量的最小值分布（两个活跃部件中第一个失效的时间服从rate=2λ的指数分布）、条件概率以及概率卷积，计算系统在时刻t仍正常运行的概率。这属于'根据概率规则、分布假设计算事件概率，并利用事件独立性'的范畴。虽然该问题出自可靠性工程领域，但所用的统计方法本质上是基于独立性与分布假设的概率计算，与'事件发生概率及独立性'二级类目的定义吻合。
87,book3_r1\137.json,数学计算\其它,,该问题涉及系统可靠性（reliability）和平均无故障时间（MTTF）的计算，属于可靠性工程中的经典问题（冗余系统、待机备件、故障率建模）。现有taxonomy中'描述性统计量 > 其它（如 reliability）'虽然提到了reliability，但其定义侧重于'概括数据特征'的统计量（如Cronbach's alpha等内部一致性指标），而本题是基于故障率λ的系统可靠性函数R(t)和MTTF的解析计算，属于可靠性工程/寿命数据建模范畴。现有taxonomy中的'生存分析'侧重于事件时间数据的统计建模（KM曲线、Cox模型等），与本题的解析可靠性公式计算也有本质区别。'期望'类目虽然涉及MTTF的期望计算，但本题的核心是可靠性系统建模（冗余结构、待机系统），而非简单的期望计算。因此建议新增'可靠性建模与计算'类目，涵盖系统可靠性函数、MTTF、冗余系统分析、故障率建模等问题。
88,book3_r1\138.json,数学计算\事件发生概率及独立性,,该问题的核心是根据独立元件（泵）的可靠度，利用概率规则逐层计算复合系统的工作概率：首先利用并联冗余公式（1-(1-R_p)^2）计算单个冷却回路的可靠度（即至少一台泵正常工作的概率），然后利用二项分布/组合概率计算4个独立回路中至少3个正常运行的概率（k-out-of-n系统可靠度）。整个求解过程完全基于事件独立性假设和概率运算法则（补事件、乘法规则、二项概率），属于'事件发生概率及独立性'的典型应用。虽然taxonomy中'描述性统计量→其它（如 reliability）'提及了reliability，但该类目指的是Cronbach's alpha等心理测量学意义上的信度指标，而非工程系统可靠度的概率计算，因此不适用。
89,book3_r1\139.json,数学计算\事件发生概率及独立性,,该问题要求在已知各引擎独立可靠性（概率）的前提下，利用独立性假设和概率规则（二项分布/组合概率）计算飞机至少有两台引擎正常工作的概率（即任务可靠性）。这属于根据概率规则和独立性假设计算复合事件发生概率的问题，与'事件发生概率及独立性'二级类目完全吻合。
90,book3_r1\139.json,数学计算\事件发生概率及独立性,,该问题要求在已知各引擎独立可靠性（概率）的前提下，根据系统结构（每侧机翼至少一台发动机工作）计算整体任务可靠性，即系统正常运行这一事件的概率。这属于根据独立性假设和概率规则（乘法、加法、补事件等）计算复合事件发生概率的问题，与'事件发生概率及独立性'二级类目完全吻合。
91,book3_r1\14.json,数学计算\分布推导,,该问题要求根据已知的概率密度函数（PDF）通过积分推导累积分布函数（CDF），属于概率分布函数之间的数学推导与变换。现有 taxonomy 中最接近的是'数学计算 > 事件发生概率及独立性'，但该类目侧重于计算具体事件的概率（如条件概率、全概率、贝叶斯公式）以及判断独立性，而本题的核心是将一种分布表示形式（PDF）推导为另一种（CDF），得到的是一个完整的函数表达式，而非某个具体事件的概率值。另外，'数据分布建模'中的 MLE/贝叶斯 侧重于从数据出发估计未知参数，也不适用。因此建议在'数学计算'下新增'分布函数推导（如 CDF/PDF/MGF 求解）'类目，涵盖由 PDF 求 CDF、由 CDF 求 PDF、随机变量变换后的分布推导、矩母函数计算等概率分布函数间的推导问题。
92,book3_r1\14.json,描述性统计量\集中趋势测度,,该问题的核心目标是求随机变量 X 的中位数（median），中位数是最典型的集中趋势测度之一。'集中趋势测度'的定义明确包含'均值、中位数、众数、几何均值等'，与本题完全吻合。虽然求解手段是令 F(m)=1/2（本质上是求第 50 百分位点），但问题的最终目的是获得刻画分布中心位置的单一数值——中位数，因此归入'集中趋势测度'比'分位数/百分位数'更贴切。同时，'数学计算 > 期望'仅覆盖期望及基于期望定义的量，不包含中位数，因此不适用。
99,book3_r1\141.json,数学计算\事件发生概率及独立性,,该问题的核心是根据已知的传感器失效率（指数分布假设）和统计独立性条件，利用概率规则计算通道可靠度 R(t) = P(通道在时刻 t 正常工作)。具体包括：(1) 由指数分布得到单个传感器在时刻 t 的工作概率；(2) 利用组合概率（3 取 2 的 k-out-of-n 表决逻辑）计算至少 2 个传感器正常的概率；(3) 结合共因失效概率与独立失效概率进行综合计算。所有步骤本质上都是基于分布假设和概率规则（条件概率、独立性、组合概率）计算事件发生概率，与'事件发生概率及独立性'的定义高度吻合。
100,book3_r1\141.json,数学计算\其它,,该问题涉及多层冗余系统（传感器→通道→系统）的可靠性建模，需要基于故障率、共因失效率以及k-out-of-n冗余结构计算系统在不同时间t下的可靠度函数。这属于可靠性工程/系统可靠性分析的范畴，涉及组件失效率建模、冗余结构的可靠性组合计算、共因失效建模等。现有taxonomy中'其它（如 reliability）'虽然提到了reliability，但其定义为'概括数据特征'的描述性统计量（如Cronbach's alpha等内部一致性指标），与本问题中基于失效率和冗余结构的系统可靠性工程计算有本质区别。本问题不是在计算某个描述性统计量，而是对一个多层冗余系统进行可靠性建模与计算，因此建议新增'系统可靠性分析'二级类目。
101,book3_r1\142.json,数学计算\期望,,该问题要求根据已知的连续时间马尔可夫链模型（状态为0台故障、1台故障、2台故障即系统失效），利用给定的故障率λ_a、λ_b和修复率μ，计算系统平均失效时间（MTTF）。MTTF本质上是系统从正常运行到首次到达吸收态（系统失效）所经历时间的数学期望E[T]，属于随机过程的期望计算问题。'数学计算→期望'类目明确包含'随机过程的数学期望''期望次数'等场景，与本题高度吻合。虽然MTTF也是可靠性/生存分析中的概念，但'生存分析'类目侧重于从观测数据出发的统计估计方法（KM曲线、Cox模型等），而本题是基于已知转移率的理论期望值推导，因此'期望'更为贴切。
102,book3_r1\142.json,数学计算\期望,,该问题要求计算系统的 MTTF（Mean Time To Failure，平均故障前时间），MTTF 本质上就是系统寿命随机变量的数学期望 E[T]。具体求解过程是：根据给定的故障率 λ_a、λ_b 和修复率 μ，建立连续时间马尔可夫链（状态 0：无故障，状态 1：一个故障，状态 2：系统失效即吸收态），然后通过求解吸收时间的期望得到 MTTF。这完全符合'期望'二级类目的定义——'计算随机变量或随机过程的数学期望、均值收益或长期平均结果的问题'，该定义也明确涵盖了'期望次数'等随机过程层面的期望计算。虽然问题涉及可靠性工程背景，但其统计学方法本质是对随机过程吸收时间求数学期望，因此'期望'是最贴切的类目。
103,book3_r1\143.json,数学计算\期望,,本题要求计算系统的平均失效前时间（MTTF），即系统从开始运行到首次失效这一随机变量 T 的数学期望 E[T]。系统可建模为一个连续时间马尔可夫链（状态 0：全部工作；状态 1：一个故障；状态 2：两个故障/系统失效），MTTF 即为从状态 0 出发到达吸收态的期望时间。这属于'计算随机变量或随机过程的数学期望'，与'数学计算 > 期望'类目的定义——'计算随机变量或随机过程的数学期望、均值收益或长期平均结果的问题'——高度吻合。虽然问题涉及可靠性/生存函数 R(t)，但 taxonomy 中'生存分析'侧重基于观测数据的统计建模（KM 曲线、Cox 模型等），而本题是基于已知失效率和修复率的理论期望值推导，归入'期望'更为贴切。
104,book3_r1\143.json,数学计算\期望,,MTTF（Mean Time To Failure）是系统从开始运行到首次失效的期望时间，本质上是对系统寿命随机变量求数学期望。该问题基于马尔可夫模型（状态间的转移由失效率和修复率定义），需要通过求解状态转移方程来计算系统首次到达失效状态的期望时间。这属于'计算随机变量或随机过程的数学期望'的范畴，因此归入'数学计算\期望'最为合适。
107,book3_r1\15.json,数据预处理\异常值处理,,"该问题的核心目标是判断数据集中某个观测值（0.686）是否为异常值（outlier）。具体方法是计算异常值比率（outlier ratio，即 Dixon's Q 检验或 Grubbs 检验等离群值检验统计量），并与给定显著性水平 α=0.05 下的临界值进行比较，从而决定是否将该值判定为异常值。这属于""异常值处理""二级类目所定义的'识别异常观测的问题'，该类目已涵盖箱线图规则、z-score 等异常值识别方法，Dixon/Grubbs 等正式离群值检验本质上也属于异常值识别的统计手段，因此归入此类最为合适。"
110,book3_r1\16.json,数学计算\事件发生概率及独立性,,该问题给定指数分布密度函数，要求计算系统在特定时间区间（4380小时到8760小时）内失效的概率，即 P(4380 < T < 8760)。这本质上是根据已知的参数化分布假设，利用概率规则（对密度函数在指定区间上积分或利用可靠度函数做差）计算事件发生概率的问题。'事件发生概率及独立性'类目的定义明确涵盖了'根据概率规则、分布假设计算事件概率'的情形，与本题完全吻合。
114,book3_r1\17.json,数值计算\获取模型参数估计值,,该问题给定了指数分布（常数失效率）模型和含删失的寿命试验数据，要求估计失效率参数λ。这属于在给定模型和数据后，通过解析方法（总失效数除以总累积运行时间）求解参数估计值的问题，与'获取模型参数估计值'二级类目吻合。虽然涉及生存分析的背景，但问题核心是参数估计的数值计算，而非生存函数的预测或比较。
117,book3_r1\18.json,数学计算\事件发生概率及独立性,,该问题要求利用切比雪夫不等式（Chebyshev's inequality）对样本均值偏离总体均值超过3σ的概率给出上界。这本质上是根据概率规则（切比雪夫不等式）计算事件发生概率的问题，属于'数学计算\事件发生概率及独立性'类目。问题不涉及假设检验、区间估计或分布推导，而是直接利用概率不等式求概率界。
121,book3_r1\20.json,数学计算\事件发生概率及独立性,,"该问题要求在已知每个灯泡合格概率为0.9、样本量为20的条件下，计算""至少18个合格""的概率。这是一个典型的二项分布概率计算问题，属于根据分布假设和概率规则计算事件发生概率的范畴，与""事件发生概率及独立性""二级类目的定义（'根据概率规则、分布假设或列联结构计算事件概率'）完全吻合。"
