original_background,original_question,rewritten_background,rewritten_question
"Figure 5.7 depicts the probability density function for the random number spinner for values between 0.0 and 1.0. This is the uniform probability density function for the range 0 to 1, denoted $X \sim$ Uniform $(0,1)$. Use geometry to determine the following probabilities on this pdf.",$\operatorname{Pr}(X \leq 0.2)$,We use a random number spinner that can land anywhere between 0.0 and 1.0. The outcomes are spread evenly across this range. Figure 5.7 shows the curve that represents how likely each value is. We’d like to use simple geometry—areas under that curve—to answer some questions.,"What is the chance the spinner lands at or below 0.2, that is, $\Pr(X \leq 0.2)$?"
"An important historical case-control completed by Doll and Hill found that 647 of the 649 lung cancer cases were smokers. In contrast, 622 of 649 controls smoked.",Calculate the odds ratio associated with smoking.,"We are reviewing an important historical case-control study conducted by Doll and Hill. In our data, there are two groups of the same size: 649 lung cancer cases and 649 controls. Among the lung cancer cases, 647 of the 649 were smokers. Among the controls, 622 of 649 smoked.","Using these counts, could you tell us how many times larger the odds (the chance of being a case divided by the chance of not being a case) are for smokers compared with non-smokers?"
Exercises 18.17 and 18.18 considered a case-control study of baldness and heart attacks in men using self-assessments of baldness. The published study also had interviewers assess the extent of baldness of study subjects using a Hamilton baldness scale (Figure 18.13). Table 18.32 cross-tabulates the data according to these interviewer assessments.,Calculate the odds ratios associated with each level of baldness according to the data in Table 18.32.,Exercises 18.17 and 18.18 considered a case-control study of baldness and heart attacks in men using self-assessments of baldness. We’re analyzing a study comparing men who had heart attacks to men who did not. The published study also had interviewers assess the extent of baldness of study subjects using a Hamilton baldness scale (Figure 18.13). We have a table of counts for heart attack status by these interviewer ratings in Table 18.32.,"Using the counts in Table 18.32, we’d like the odds ratios for each level on the Hamilton baldness scale."
"The pets and stress illustrative example found a significant difference among the three groups (P<0.001). Now we conduct post hoc comparisons with the LSD method. Recall that group 1= pet present, group 2= friend present, and group 3= neither pet nor friend present.",The first post-hoc comparison is H0: μ1=μ2 against Ha: μ1≠μ2.,"In our pets and stress illustrative example, we found a significant difference among the three groups (P<0.001). We’d now like to run follow-up (post hoc) comparisons using the LSD method to understand where those differences are coming from. Recall that group 1= pet present, group 2= friend present, and group 3= neither pet nor friend present.",The first post-hoc comparison is H0: μ1=μ2 against Ha: μ1≠μ2.
"We have established that the probability of cat ownership Pr(A)=0.35, the probability of dog ownership Pr(B)=0.30, and the probability of joint cat and dog ownership Pr(A and B)=0.15.",What is the probability of owning a dog or a cat using the general rule of addition?,"We have data indicating that 35% of people own a cat, 30% own a dog, and 15% own both a cat and a dog.","We want to know the chance that someone owns a dog or a cat. How should we combine these numbers so we don’t double-count people who have both, and what does that come out to?"
"Figure 5.1 shows the results of two trials in which we randomly selected 10,000 individuals from a population in which 20% of the individuals are smokers. The proportion of the smokers in the sample is plotted as the sample size increases from n = 0 to n = 10,000.",Describe the behavior of the proportion of smokers in Trial 2 as the sample size increases.,"We conducted two trials. In each trial, we randomly selected 10,000 individuals from a population in which 20% of the individuals are smokers. As we added people one by one—from n = 0 to n = 10,000—we plotted the running percentage of smokers (see Figure 5.1).","Focusing on Trial 2, how does our running percentage of smokers change as we increase the sample size from n = 0 to n = 10,000?"
We want to test $H_0: p_1=p_2$ at $\alpha=0.05$ (two sided) with sample sizes constrained to $n_1=250$ and $n_2=300$. Educated guesses for population proportions are $p_1=0.20$ and $p_2=0.15$.,What is the power of this test?,"We’re planning a study to compare two groups, with fixed sample sizes of n1=250 for group 1 and n2=300 for group 2. Our goal is to check whether the two underlying rates are the same. We’ll make our decision using a 5% chance of a false alarm and will look for a difference in either direction. Based on prior information, we think the true rates might be about 0.20 in group 1 and 0.15 in group 2.","Given n1=250, n2=300, our expected rates of 0.20 vs 0.15, and a 5% chance of a false alarm while checking for differences in either direction, how likely are we to detect a real difference between the groups?"
"Chapter 17 considered results from the estrogen trial of the Women's Health Initiative study. The incidence of the combined morbidity index in the treatment group was 751 per 8506 (8.83%). The incidence in the control group was 623 of 8102 (7.69%). The test of H0: p1=p2 yielded z_stat=2.66, P=0.0078 (two sided). We propose to test the same information with a chi-square statistic.",Test statistic. Table 18.12 lists observed and expected frequencies for the problem. X_stat^2=sum[(Oi-Ei)^2/Ei] = (751-703.712)^2/703.712 + (7755-7802.288)^2/7802.288 + (623-670.288)^2/670.288 + (7479-7431.712)^2/7431.712 = 3.178 + 0.287 + 3.336 + 0.301 = 7.101. This chi-square statistic has df=(R-1)*(C-1)=(2-1)*(2-1)=1. Notice that sqrt(X_stat^2)=sqrt(7.101)=2.66=z_stat.,"We are reviewing results from the estrogen trial of the Women's Health Initiative. In our treatment group, 751 out of 8506 participants (8.83%) met the combined morbidity index; in the control group, 623 out of 8102 (7.69%) did so. Using a prior approach to compare the two groups, we obtained a standardized difference of 2.66 with a two-sided significance level of 0.0078. We would like to cross-check these findings using a calculation that compares the counts we observed with the counts we would expect if there were no difference between groups.","We have the observed and expected counts summarized (Table 18.12). Please help us compute the discrepancy measure based on comparing observed versus expected counts:

$X_{\text{stat}}^{2} = \sum \frac{(O_i - E_i)^2}{E_i} = \frac{(751-703.712)^2}{703.712} + \frac{(7755-7802.288)^2}{7802.288} + \frac{(623-670.288)^2}{670.288} + \frac{(7479-7431.712)^2}{7431.712} = 3.178 + 0.287 + 3.336 + 0.301 = 7.101.$

Because this is a 2-by-2 layout, the number of independent comparisons is $(R-1)(C-1) = (2-1)\times(2-1) = 1$. Also note that $\sqrt{X_{\text{stat}}^{2}} = \sqrt{7.101} = 2.66$, which matches the standardized difference from our earlier method."
An SRS of 18 male students at a university has an average height of 70 inches. The average height of men in the general population is 69 inches. Assume that male height is approximately Normally distributed with σ=2.8 inches.,Conduct a two-sided hypothesis test to determine whether the male students are significantly taller than expected. Show all hypothesis testing steps.,"We drew a simple random sample (SRS) of 18 male students at a university and found their average height is 70 inches. In the general population, the average height of men is 69 inches. We assume male height is approximately Normal with known standard deviation ($\sigma = 2.8$) inches.","We will run a two-sided one-sample z test to check whether the male students are significantly taller than expected.

1) State the hypotheses:
- Null: $H_0: \mu = 69$ inches
- Alternative (two-sided): $H_a: \mu \neq 69$ inches

2) Assumptions/model:
- SRS of size $n = 18$
- Population is approximately Normal
- Population standard deviation is known ($\sigma = 2.8$)
- Therefore, we use a one-sample $z$ test.

3) Test statistic:
- Sample mean $\bar{x} = 70$
- $z = \frac{\bar{x} - \mu_0}{\sigma/\sqrt{n}} = \frac{70 - 69}{2.8/\sqrt{18}} \approx 1.52$

4) P-value (two-sided):
- $p = 2\,[1 - \Phi(|z|)] \approx 2\,[1 - \Phi(1.52)] \approx 0.13$

5) Decision at $\alpha = 0.05$:
- Since $p \approx 0.13 > 0.05$, we fail to reject $H_0$.

6) Conclusion in context:
- At the 5% level, we do not have sufficient evidence to conclude that the male students in our sample are significantly taller (or shorter) than the general population mean of 69 inches. Our observed mean of 70 inches is consistent with normal sampling variability when $\sigma = 2.8$ and $n = 18$."
"The term critical value is often used to refer to the value of a test statistic that determines statistical significance at some fixed α level for a test. For example, ±1.96 are the critical values for a two-tailed z test at α=0.05.","In performing a t test based on 21 observations, what are the critical values for a one-tailed test when α=0.05? That is, what values of the t_stat will give a one-sided P-value that is less than or equal to 0.05?","The term critical value is often used to refer to the value of a test statistic that determines statistical significance at some fixed $\alpha$ level for a test. For example, $\pm 1.96$ are the critical values for a two-tailed z test at $\alpha = 0.05$.","We're analyzing a dataset with 21 observations using a t test and have computed a t-based standardized score (t statistic) that compares our sample average to a reference value. For a one-tailed test at $\alpha = 0.05$, what are the critical values? That is, what values of the t statistic will yield a one-sided p-value that is less than or equal to 0.05?"
Exercise 11.11 calculated the mean length of menstrual cycles in an SRS of $n=9$ women. The data revealed $\bar{x}=27.78$ days with standard deviation $s=2.906$ days.,Calculate a $95 \%$ confidence interval for the mean menstrual cycle length.,"In Exercise 11.11, we measured the lengths of menstrual cycles in a simple random sample (SRS) of n=9 women. In this sample, the average cycle length was 27.78 days, and the standard deviation was 2.906 days.","Based on our sample, we would like a range of values that likely contains the true average menstrual cycle length in the broader population, with about 95% confidence."
"We want to learn about the relationship between education and the prevalence of smoking in a particular community. A sample of 585 adult individuals with at least a high school degree is selected from a certain high socioeconomic status neighborhood. Educational level is classified by highest degree received, as follows: (1) High school graduate, (2) associate degree, (3) some college, (4) undergraduate degree, or (5) graduate degree. Individuals are classified as smokers if they had smoked at least 100 cigarettes during their lifetime and currently smoke every day or nearly every day (binary response variable). The explanatory variable is education, with five categorical levels. The data may be viewed as a naturalistic sample of a particular high socioeconomic community.",Determine the relationship between education level and smoking prevalence using the given data.,"We are working in a certain high socioeconomic status neighborhood. We drew a sample of 585 adult individuals who all have at least a high school degree. For each person, we recorded their highest degree: (1) High school graduate, (2) associate degree, (3) some college, (4) undergraduate degree, or (5) graduate degree. We also recorded whether they count as a current smoker, using this definition: they have smoked at least 100 cigarettes in their lifetime and they currently smoke every day or nearly every day. The data may be viewed as a naturalistic sample of a particular high socioeconomic community.","We want to understand how smoking rates vary by education level in this community. Using our data, please tell us whether smoking prevalence differs across the five education groups, estimate the smoking rate in each group, and describe any clear pattern (for example, increasing or decreasing) with education. Please present results in a way we can share with community stakeholders, including simple visuals and uncertainty ranges where appropriate."
We have established that prevalence proportions in the education and smoking illustrative data vary from 24% to 9%. Now we test the association for significance.,Hypotheses. H0 : no association between educational level and smoking in the source population versus Ha : 'association.',"In our illustrative dataset on education and smoking, the prevalence proportions range from 24% to 9% across educational levels. We want to move beyond simply describing these differences and determine whether they reflect a real pattern in the broader group we care about, or whether they could just be due to random variation in our sample.","Can you help us formally frame and check this? We want to compare two possibilities: (1) in the source population, educational level and smoking are unrelated, versus (2) there is some relationship between educational level and smoking. How should we proceed to evaluate this?"
A study takes an SRS from a population of full-term infants. The standard deviation of birth weights in this population is 2 pounds.,Calculate 95% confidence intervals for μ for samples in which n=81 and \bar{x}=6.1 pounds.,"We are studying birth weights of full-term infants. We drew a random sample from this population. From prior information about this population, birth weights typically vary with a standard deviation of 2 pounds.","Using our sample of n=81 full-term infants with an average birth weight of 6.1 pounds, and taking the 2-pound spread as known for this population, please provide a 95% range for the population’s average birth weight."
We select an SRS of n=712 from a population of 20-29-year-old men and calculate x̄=183 pounds. The population standard deviation (σ) is 40.,We propose to calculate 95% confidence intervals for μ based on this information.,We select a random sample of 712 men from a population of 20-29-year-old men and find an average weight of 183 pounds. The population has an overall spread of about 40 pounds (standard deviation).,We’d like a 95% confidence range for the average weight of all 20-29-year-old men.
Calculate a chi-square test of association statistic and P-value for the case-control data in Table 18.21.,Justify that it is acceptable to use a chi-square statistic in this situation even though two of the cells have small numbers.,"Using the case–control data in Table 18.21, we will calculate the association using the chi-square test of association for a 2×2 table, and report the chi-square statistic and the P-value.",Justify that it is acceptable for us to use the chi-square statistic in this situation even though two of the cells have small numbers and the chi-square test can be unreliable.
Table 14.5 lists data from a cross-sectional survey of bicycle safety. The explanatory variable is a measure of neighborhood socioeconomic status (variable P_RFM). The response variable is helmet use.,Conduct a hypothesis test to evaluate the significance of the correlation.,"We conducted a cross-sectional survey on bicycle safety. Table 14.5 lists our data. For each record, we have a neighborhood measure of socioeconomic status (P_RFM) and whether riders used helmets.","Please help us determine whether helmet use and P_RFM move together in a meaningful way, rather than any apparent pattern being just random noise. Indicate the direction of the relationship (if any) and whether the evidence is strong enough for us to treat the relationship as real."
"Recall the illustrative example on the topic of alcohol consumption and income level. Evidence of distributional asymmetry and unequal variances was demonstrated (e.g., Figure 13.17). Although ANOVA and other Normal techniques are precluded by these facts, we may still apply a Kruskal-Wallis test.",What is the test statistic for the Kruskal-Wallis test in this example?,"We’re revisiting our example on alcohol consumption and income level. In our data (see Figure 13.17), the patterns look skewed and the spread isn’t the same across groups. Because of this, we don’t want to rely on ANOVA or other Normal methods. Instead, we’d like to compare the groups using a rank-based approach, specifically the Kruskal-Wallis test.","For this example, what value do we get for the Kruskal-Wallis test statistic?"
"Exercise 18.4 found coronary heart disease risks of 1.0%, 1.3%, and 2.8% in low, intermediate, and high anger-trait groups. Table 18.9 lists observed frequencies for the problem.",Apply a test of trend to these data. Show all hypothesis-testing steps.,"We are studying how anger-trait levels relate to coronary heart disease. Our participants were grouped into low, intermediate, and high anger-trait groups. In our data, the observed risks of coronary heart disease were 1.0%, 1.3%, and 2.8% for the low, intermediate, and high groups, respectively. The detailed observed counts for each group are listed in Table 18.9.","Using the counts in Table 18.9, can we assess whether coronary heart disease risk increases steadily from low to intermediate to high anger-trait, rather than the differences being due to random fluctuation? Please lay out the steps we should follow to reach a conclusion."
"A citizen claims that the intelligence of children in a particular community is above average. To test this claim, he selects a simple random sample consisting of n=9 children from this population. Scores of the intelligence test typically vary according to a Normal distribution with mean μ=100 and standard deviation σ=15. The sample produces these scores {116,128,125,119,89,99,105,116,118}. Thus, x̄=(116+128+⋯+118)/9=112.8.",Does this sample provide statistically significant evidence in support of the citizen's claim?,"We are looking into a citizen’s claim that the intelligence of children in a particular community is above average. To check this, we selected a simple random sample of n=9 children from that community. These test scores are designed so that, in the broader population, they follow a bell-shaped pattern with an average of 100 and a typical spread of 15. Our sample scores are {116,128,125,119,89,99,105,116,118}, which gives an average of 112.8.","Given these numbers, does this sample provide strong enough evidence to support the claim that this community’s children score above the average of 100? In particular, how surprising would an average of 112.8 be for a sample of n=9 if the community were truly average (with a typical spread of 15)?"
Exercise 14.1 introduced data for a cross-sectional survey of bicycle helmet use in Northern California. Table 14.5 lists the data. Exercise 14.1(a) revealed that observation 13 (Los Arboles) was an outlier.,Optional: Determine the residuals for each of the 12 data points in the analysis. Plot these residuals as a stemplot. Check for major departures from Normality.,"We previously shared data from our cross-sectional survey of bicycle helmet use in Northern California (introduced in Exercise 14.1), and the data are listed in Table 14.5. In Exercise 14.1(a), we noticed that observation 13 (Los Arboles) stood out as unusual compared to the rest.","Optional: For the 12 data points we kept in the analysis, please compute the differences between what our fitted relationship predicts and what we actually observed (the residuals). Put these differences into a simple stem-and-leaf plot. Let us know whether the overall shape looks roughly bell-shaped and balanced, or if there are major deviations such as strong skew, heavy tails, or other noticeable irregularities."
The prevalence of a trait is 76.8%.,What is the probability of seeing nine or more individuals with this characteristic in an SRS of $n=10$?,We work with a population where this characteristic shows up in 76.8% of people. We'll randomly choose people from this group.,"If we randomly pick 10 people, what's the chance that nine or all ten will have this characteristic?"
Use Table C to determine the values on a $t_{22}$ distribution that captures the middle $95 \%$ of the area under the curve.,Sketch the curve showing the $t$ values on the horizontal axis and associated tail areas.,We're preparing a report and need to use Table C for the $t_{22}$ distribution. We want to identify the two cutoff points that leave the middle 95% of the curve's area between them.,"Could you sketch the $t$ curve, mark the two $t$ values on the horizontal axis that define the middle 95%, and label the areas in the two tails accordingly?"
The ANOVA in Exercises 13.3 found that birth weight of four groups of infants differed significantly according to the smoking status of mothers (P=0.042). Table 13.3 lists the data for the analysis. Data are also available online in the file SMOK_BW.SAV.,Conduct post hoc comparisons using the LSD method. Summarize these results in concise narrative form.,"In our earlier ANOVA in Exercises 13.3, we found that birth weight differed across the four groups of infants according to the smoking status of mothers (P=0.042). Table 13.3 lists the data for the analysis, and the data are also available online in the file SMOK_BW.SAV. We'd like to understand these differences more specifically.","We would like you to compare each pair of smoking-status groups using the LSD method to determine which ones differ in birth weight and which ones do not. Please summarize the findings in a brief, plain-language narrative that states which groups are higher or lower and whether the differences are statistically meaningful."
"A case-control study was completed to learn about the relationship between male-pattern baldness and the risk of cardiovascular disease. Cases were men less than 55 years of age hospitalized for a heart attack. Cases were excluded if they had a prior history of serious heart problems. Controls were men with no history of heart disease admitted to the same hospitals for nonfatal, noncardiac problems. Table 18.21 cross tabulates results according to self-assessed baldness, with baldness graded on a scale of 1 (no baldness) to 5 (extreme baldness).",Conduct a test for trend.,"We completed a case–control study to understand the relationship between male-pattern baldness and the risk of cardiovascular disease. Our cases are men less than 55 years of age who were hospitalized for a heart attack; we excluded anyone with a prior history of serious heart problems. Our controls are men with no history of heart disease who were admitted to the same hospitals for nonfatal, noncardiac problems. Baldness was self-rated on a scale from 1 (no baldness) to 5 (extreme baldness). Table 18.21 shows the counts for cases and controls across these five baldness levels.","Using the data in Table 18.21, can you tell us whether the likelihood of being in the heart attack group changes steadily as the baldness score goes from 1 to 5—specifically, whether higher baldness levels are associated with a consistent increase or decrease, rather than just differences between individual categories?"
"An important historical case-control completed by Doll and Hill found that 647 of the 649 lung cancer cases were smokers. In contrast, 622 of 649 controls smoked.",Include a $95 \%$ confidence interval for the $O R$.,"An important historical case-control completed by Doll and Hill found that 647 of the 649 lung cancer cases were smokers. In contrast, 622 of 649 controls smoked.","We would like you to quantify how much more common smoking was among the lung cancer cases compared to the controls (expressed as a ratio of their chances), and to include a \(95\%\) confidence interval for that comparison."
Recall the 'air samples' illustrative data presented earlier in this chapter. Table 4.2 lists data for particulate matter at two sampling sites.,Compare the variability of data between site 1 and site 2 using IQR.,We’re referring to the 'air samples' illustrative data presented earlier in this chapter. Table 4.2 lists the particulate matter measurements from two sampling sites.,"We want to compare how much the readings vary between site 1 and site 2, focusing on the middle half of the measurements (the 25th to the 75th percentile). Which site has a wider spread in that middle range?"
Calculate a chi-square test of association statistic and P-value for the case-control data in Table 18.21.,Calculate a chi-square test of association statistic and P-value for the case-control data in Table 18.21.,"We have case-control data summarized as counts in Table 18.21. We want to know whether the pattern of counts suggests a real relationship between case/control status and the other category in the table, or if any differences could just be due to random variation.","Using the counts in Table 18.21, we would like you to compute the usual single-number summary of how far the observed table is from what we would expect if there were no relationship (the chi-square test of association statistic), and report the corresponding probability of seeing a difference at least this large just by chance under that no-relationship assumption (the P-value). In short, please tell us how strong the evidence is that the two variables in Table 18.21 are related."
"The case-control study on esophageal cancer and alcohol use also collected data on tobacco use as a potential risk factor, with tobacco use dichotomized at 20 grams/day.",Calculate the odds ratio and 95% confidence interval for these data.,"The case-control study on esophageal cancer and alcohol use also collected data on tobacco use as a potential risk factor, with tobacco use dichotomized at 20 grams/day.","Using our data, please calculate how the odds of being a cancer case compare between people who use more than 20 grams/day of tobacco and those at or below 20 grams/day (i.e., the odds ratio), and provide a 95% confidence interval."
"Figure 5.1 shows the results of two trials in which we randomly selected 10,000 individuals from a population in which 20% of the individuals are smokers. The proportion of the smokers in the sample is plotted as the sample size increases from n = 0 to n = 10,000.",Explain what happens to the variability of the proportions as the sample size increases.,"We’re running a survey and did two trial runs. Each time, we randomly selected 10,000 individuals from a population in which 20% are smokers. In Figure 5.1, we plotted the running percentage of smokers as our count grows from n = 0 up to n = 10,000.","As we add more people to the survey, what should we expect to happen to how much that running percentage of smokers bounces around?"
"The pets and stress illustrative example found a significant difference among the three groups (P<0.001). Now we conduct post hoc comparisons with the LSD method. Recall that group 1= pet present, group 2= friend present, and group 3= neither pet nor friend present.",The second post-hoc comparison is H0: μ1=μ3 against Ha: μ1≠μ3.,"In our pets and stress illustrative example, we compared three groups: group 1 = pet present, group 2 = friend present, and group 3 = neither pet nor friend present. Our initial overall check showed a clear difference among the three groups (P<0.001). We’d now like to run follow-up (post hoc) pair-by-pair comparisons using the LSD method to see where those differences are coming from.","For the second follow-up comparison, we want to compare group 1 (pet present) with group 3 (neither pet nor friend present) to see whether their average stress levels differ in either direction. We would like to test the two-sided hypothesis H0: $\mu_1 = \mu_3$ against Ha: $\mu_1 \ne \mu_3$."
Reconsider the conditions of the illustrative example that compared cholesterol in the two groups.,"What is the power of a test of $H_0: \mu_1=\mu_2$ when $\alpha=0.05$ (two-sided), $n=30$ per group, $\mu_1-\mu_2=0.25$, and $\sigma^2=0.25$?","We’re revisiting our earlier example comparing cholesterol levels between two groups. We plan to enroll 30 people in each group. From prior data, the variability looks like 0.25. We want to know how capable our study is of picking up a true difference of 0.25 units in average cholesterol between the groups, in either direction.","Using a two-sided 5% cutoff ($\alpha=0.05$), with 30 participants per group, a true difference of 0.25 units between group averages, and variability of 0.25, how likely is our study to detect a difference between the two groups?"
"Data are from a survey of socioeconomic status and alcohol consumption. The response variable is alcohol consumption graded on a 13-point scale. The explanatory variable is income as five ordinal levels with 1 denoting the lowest income level and 5 denoting the highest. Because this is a large data set n=713, analyses are done with a statistical package. Data are stored online in the file ALCOHOL.SAV as variables ALCS and INC.",Descriptive statistics. Descriptive statistics for the groups (computed with a statistical package) are provided.,"We have data from a survey on socioeconomic status and alcohol consumption. The response variable is alcohol consumption graded on a 13-point scale. The explanatory variable is income recorded in five ordered levels, with 1 denoting the lowest income level and 5 the highest. Because this is a large data set n=713, we analyzed it with a statistical package. The data are stored online in the file ALCOHOL.SAV as variables ALCS and INC.","Descriptive statistics. We used our software to compute basic summaries of alcohol consumption for each of the five income levels, and we have them available. Descriptive statistics for the groups (computed with a statistical package) are provided."
Table 14.5 lists data from a cross-sectional survey of bicycle safety. The explanatory variable is a measure of neighborhood socioeconomic status (variable P_RFM). The response variable is helmet use.,Create a scatterplot to visualize the relationship between neighborhood socioeconomic status and helmet use.,"We conducted a cross-sectional survey on bicycle safety and want to understand patterns in helmet use. For each participant, we recorded a measure of neighborhood socioeconomic status (P_RFM) and whether they use a helmet. The data are shown in Table 14.5.",Could you create a scatterplot to show how helmet use relates to neighborhood socioeconomic status (P_RFM)?
"Consider spinning a pointer like the one depicted in Figure 5.5. The pointer can come to rest at any angle, on any value between 0 and 1. With a fair spin, the pointer is equally likely to stop at any point on the device, generating random numbers between 0 and 1 with uniform probability. There are an infinite number of such possibilities. For example, between 0.0 and 0.5, it can land on 0.25, 0.375, 0.4375, 0.46875, 0.484375, ad infinitum.","What is the probability of the pointer landing within a specific interval, such as [0.0, 0.5]?","We spin a pointer like the one depicted in Figure 5.5. The pointer can come to rest at any angle, giving a value between 0 and 1. With a fair spin, every point in that range is equally likely. There are infinitely many possible outcomes. For example, between 0.0 and 0.5, it can land on 0.25, 0.375, 0.4375, 0.46875, 0.484375, ad infinitum.","We want to know the chance that a fair spin lands within a specific interval, such as [0.0, 0.5]. What is that probability?"
