sample_key,case_id,suggested_method,proposed_new_category,reason
92,book1_r1\record_042.json,数据可视化\stem-and-leaf plot,,题目明确要求绘制 stemplot（茎叶图），这与数据可视化类目下的 'stem-and-leaf plot' 完全对应。该二级类目的定义正是'用茎叶图展示单变量分布及原始数值结构的问题'，与本题要求一致。
129,book1_r1\record_060.json,数学计算\事件发生概率及独立性,,"该问题的核心是：在已知总体服从正态分布 N(138, 7²) 的前提下，计算事件 P(X < 150) 的概率。这属于'根据分布假设计算事件概率'的典型问题，与'事件发生概率及独立性'二级类目的定义（'根据概率规则、分布假设或列联结构计算事件概率'）高度吻合。虽然结果可以被解读为百分位数，但题目问的是'proportion'（比例/概率），侧重点在于概率计算而非分位点定位，因此'事件发生概率及独立性'比'分位数/百分位数'更贴切。"
162,book1_r1\record_072.json,数学计算\事件发生概率及独立性,,"该问题要求在已知二项分布 b(10, 0.5) 的假设下，计算事件 X≥7 的概率。这是一个根据已知概率分布计算特定事件发生概率的问题，属于'数学计算'中的'事件发生概率及独立性'类目。问题核心是利用二项分布的概率质量函数求累积概率，符合该类目中'根据分布假设计算事件概率'的定义。"
163,book1_r1\record_073.json,假设检验与区间估计\检验性质分析,,该问题要求分析假设检验陈述本身的正确性，即识别原假设和备择假设在形式上的错误（H0和Ha中的参数值不一致，应该针对同一个值进行检验）。这属于对假设检验基本特征和要求的分析，涉及假设检验的正确表述规范，归入'检验性质分析'最为合适。
164,book1_r1\record_073.json,假设检验与区间估计\检验性质分析,,该问题要求识别假设检验陈述中的错误——具体而言，假设应针对总体参数（如μ）而非样本统计量（如x̄）来表述。这属于对假设检验基本概念、规范和性质的分析，属于'检验性质分析'的范畴，该类目涵盖描述假设检验基本特征和要求的问题。
166,book1_r1\record_074.json,,P值计算,该问题要求根据给定的z统计量计算单侧和双侧P值，属于从已知检验统计量出发、利用标准正态分布查表或计算尾部概率的基本统计推断操作。现有taxonomy中没有直接对应的类目：'均值检验'侧重于完整的假设检验流程（设定假设、计算统计量、做出决策），而本题仅涉及从已知z值计算P值这一步骤；'事件发生概率及独立性'侧重于概率规则和独立性判断，不涉及检验统计量的尾部概率计算；'期望'和其他数学计算类目也不匹配。建议新增'P值计算'二级类目，用于描述在给定检验统计量和参考分布的情况下计算P值（单侧或双侧）的问题。
167,book1_r1\record_074.json,数学计算\事件发生概率及独立性,,"该问题的核心任务是：已知 z 统计量服从标准正态分布 N(0,1)，计算双侧尾部概率 P(|Z| ≥ 2.45) = 2·P(Z ≤ -2.45)。虽然 P 值概念来源于假设检验，但本题既未给出数据、也未建立假设，纯粹是根据标准正态分布的概率规则计算一个事件（z 落入拒绝域）的概率，属于'根据概率规则、分布假设计算事件概率'的问题，与'事件发生概率及独立性'的定义高度吻合。假设检验与区间估计中的'均值检验'等类目侧重于完整的检验流程（提出假设、选择检验、做出结论），而本题仅涉及概率计算这一步骤，因此'事件发生概率及独立性'更为贴切。"
173,book1_r1\record_077.json,假设检验与区间估计\均值检验,,该问题要求对单个总体均值是否等于给定值（39周）进行双侧假设检验，并计算检验统计量。这属于单样本均值检验（已知总体标准差的z检验），完全符合'均值检验'二级类目的定义：'比较一个或多个总体均值是否等于某给定值或彼此相等的问题'。
174,book1_r1\record_077.json,假设检验与区间估计\均值检验,,该问题明确要求对一个样本均值与已知总体均值进行比较（单样本z检验），使用双侧备择假设，并计算p值。这属于典型的均值检验问题，对应'假设检验与区间估计'下的'均值检验'二级类目。
178,book1_r1\record_079.json,数据可视化\连续型变量分布,,"该问题要求绘制样本均值 x̄ 的抽样分布图，标注均值 μ 及 ±1、±2 个标准误的位置，并在横轴上定位 x̄=80,900。其核心任务是可视化一个连续型变量（抽样分布）的分布形态，属于'数据可视化'大类下的'连续型变量分布'二级类目。虽然涉及抽样分布的统计概念，但题目明确要求'sketch'（绘制）该分布并标注关键位置，本质上是对一个连续型分布进行图形化展示。"
179,book1_r1\record_079.json,假设检验与区间估计\均值检验,,该问题要求根据已知总体均值μ=85100、总体标准差σ=10000、样本均值x̄=80900和样本量n=20，计算z统计量和P值，以检验样本均值是否显著低于总体均值。这是一个典型的单样本z检验（均值检验）问题，属于'假设检验与区间估计'中的'均值检验'二级类目。
180,book1_r1\record_079.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求对观察到的样本均值低于总体均值这一现象提出四种可能的解释，本质上是识别和讨论导致统计结果偏离预期的各种潜在原因，包括抽样变异、选择偏差、混杂变量（如性别歧视）、样本代表性不足等。这属于对统计结果进行批判性思考，识别可能的偏差和替代解释，与'统计谬误与偏差识别'类目高度吻合。
182,book1_r1\record_080.json,假设检验与区间估计\均值检验,,该问题是一个经典的单样本 z 检验场景：已知总体标准差 σ，从总体中抽取简单随机样本，比较样本均值与已知总体均值是否存在显著差异，并要求计算检验统计量。这属于'均值检验'二级类目，涵盖单样本、双样本、配对 t 检验等比较总体均值的问题。
183,book1_r1\record_080.json,假设检验与区间估计\均值检验,,该问题是一个经典的单样本z检验问题：已知总体标准差σ=2.8，样本均值为70，总体均值为69，样本量n=18，要求计算P值并解释其显著性。这属于'比较一个总体均值是否等于某给定值'的假设检验问题，完全符合'均值检验'二级类目的定义（包括单样本检验）。
185,book1_r1\record_081.json,假设检验与区间估计\检验性质分析,,该问题要求将法庭审判的四种结果类比到假设检验的决策矩阵中，即正确接受H0（无罪释放无辜者）、第一类错误/拒绝真H0（定罪无辜者）、第二类错误/接受假H0（释放有罪者）、正确拒绝H0（定罪有罪者）。这属于对假设检验基本概念（第一类错误、第二类错误、正确决策）的理解与辨析，核心在于分析假设检验的性质特征，因此归入'假设检验与区间估计\检验性质分析'最为合适。
186,book1_r1\record_081.json,假设检验与区间估计\检验性质分析,,该问题要求识别哪种决策类似于第一类错误（Type I error），属于对假设检验基本概念和性质的理解与分析。题目通过法庭类比来考察学生对显著性水平、第一类错误（拒绝真实的H0，即错误定罪无辜的人）的理解。这属于'检验性质分析'二级类目，该类目明确包含'第一类错误和第二类错误'等假设检验基本特征的问题。
187,book1_r1\record_081.json,假设检验与区间估计\检验性质分析,,该问题要求识别哪种决策类似于第二类错误（Type II error），这属于假设检验基本概念和性质的分析问题。Type II error（即未能拒绝一个实际为假的原假设）是假设检验的基本特征之一，与显著性水平、功效、第一类错误等概念一起属于'检验性质分析'的范畴。
191,book1_r1\record_083.json,假设检验与区间估计\均值检验,,该问题要求根据已知总体标准差、样本量和样本均值，计算总体均值μ的95%置信区间。这是经典的均值区间估计问题（基于z分布的单样本均值置信区间）。在现有taxonomy中，'假设检验与区间估计'类目明确说明其二级类目虽以'检验'命名，但也包含对应的区间估计方法。'均值检验'涵盖了关于总体均值的假设检验与区间估计问题，因此最为合适。
192,book1_r1\record_083.json,假设检验与区间估计\均值检验,,该问题要求根据已知总体标准差、样本均值和样本量，计算总体均值μ的95%置信区间。这属于均值的区间估计问题。在现有taxonomy中，'假设检验与区间估计'类目明确说明假设检验和区间估计是一体两面，其下的'均值检验'二级类目涵盖了关于总体均值的检验与区间估计。本题是经典的单样本均值置信区间（已知σ，使用z区间），最合适归入'均值检验'。
193,book1_r1\record_083.json,假设检验与区间估计\均值检验,,该问题要求根据已知总体标准差、样本均值和样本量计算总体均值μ的95%置信区间，属于均值的区间估计问题。在现有taxonomy中，'假设检验与区间估计'类目明确说明假设检验和区间估计是一体两面，其二级类目虽以'检验'命名但也包含对应的区间估计方法。'均值检验'涵盖了关于总体均值的检验与区间估计问题，本题正是对单个总体均值构造置信区间（基于已知σ的z区间），因此最适合归入'假设检验与区间估计\均值检验'。
194,book1_r1\record_084.json,假设检验与区间估计\均值检验,,该问题要求根据已知总体标准差σ和样本均值，计算总体均值的95%置信区间，属于单样本均值的区间估计问题。在现有taxonomy中，'假设检验与区间估计'类目明确说明假设检验和区间估计是一体两面，其二级类目虽以'检验'命名但也包含对应的区间估计方法。'均值检验'类目涵盖比较一个或多个总体均值与某给定值的问题，包括单样本情形，因此计算均值置信区间正属于此二级类目。
196,book1_r1\record_085.json,描述性统计量\分位数/百分位数,,该问题要求从t分布表中查找t_{22}分布中间95%面积对应的临界值，即找到累积概率为0.025和0.975对应的分位点。这本质上是一个查找特定分布分位数/百分位数的问题，属于'描述性统计量'下的'分位数/百分位数'类目。虽然这里涉及的是理论分布的分位数而非样本数据的分位数，但其核心操作是确定分布的特定分位点值，与该类目的定义'计算或解释数据在排序后相对位置的问题，包括阈值分位点'最为贴近。
198,book1_r1\record_086.json,,临界值与分布分位点查询,该问题要求根据给定的显著性水平α和自由度，查找t分布的临界值（即分布的特定分位点）。这既不是假设检验的完整执行过程，也不是描述性统计中的分位数计算（那是针对数据的经验分位数），而是针对理论概率分布查表求临界值的问题。现有taxonomy中'分位数/百分位数'指的是数据的经验分位数，'假设检验与区间估计'下的各类目关注的是检验的执行与判断，'数学计算'中的类目也不涵盖分布分位点的查询。因此建议新增'临界值与分布分位点查询'类目，用于涵盖从已知理论分布中求取特定概率对应分位点/临界值的问题。
199,book1_r1\record_086.json,假设检验与区间估计\检验性质分析,,该问题要求根据给定的显著性水平α=0.05和自由度（基于21个观测值的t检验，df=20），查找双尾t检验的临界值。临界值是假设检验的基本特征之一，属于描述假设检验基本要素（显著性水平、拒绝域边界等）的问题。这与'检验性质分析'二级类目的定义——'描述假设检验基本特征和要求的问题，包括检验的显著性水平、功效、第一类错误和第二类错误等'——高度吻合，临界值正是由显著性水平决定的拒绝域边界值。
203,book1_r1\record_088.json,数学计算\事件发生概率及独立性,,该问题要求根据t分布的概率表，计算一个t随机变量取值大于某个特定值的概率（即上尾概率）。这属于根据分布假设和概率表查找/计算事件发生概率的问题，与'事件发生概率及独立性'类目吻合，该类目涵盖了根据概率规则和分布假设计算事件概率的问题。问题的核心是利用t分布表通过夹逼法确定P(t_8 > 2.65)的概率范围，属于概率计算范畴。
205,book1_r1\record_089.json,假设检验与区间估计\均值检验,,该问题是一个经典的单样本t检验问题：给定一组样本数据，检验总体均值是否等于某个已知值（29.5天），假设总体服从正态分布，使用双侧备择假设。题目要求计算检验统计量（即t统计量），这完全属于'均值检验'的范畴。
206,book1_r1\record_089.json,假设检验与区间估计\均值检验,,该问题要求对一个样本的均值与已知值（29.5天）进行比较，判断是否存在显著差异，并计算P值。这是一个经典的单样本t检验问题，属于'假设检验与区间估计'下的'均值检验'二级类目。
207,book1_r1\record_089.json,假设检验与区间估计\均值检验,,该问题要求对一个小样本的均值与已知值（29.5天）进行比较，判断总体均值是否显著不同于该值，属于经典的单样本t检验问题。这正是'假设检验与区间估计'下'均值检验'二级类目所涵盖的内容。
211,book1_r1\record_091.json,数据可视化\stem-and-leaf plot,,题目明确要求计算差值后构建 stemplot（茎叶图）并进行解读。taxonomy 中'数据可视化'下有专门的'stem-and-leaf plot'二级类目，其定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'，与本题完全吻合。虽然题目包含计算差值的步骤，但这只是为构建茎叶图做的数据准备，核心统计任务是用茎叶图展示差值的分布并加以解读。
212,book1_r1\record_091.json,描述性统计量\频率与比例测度,,该问题要求对每个城市比较 AFTER 与 BEFORE 的大小，判断是否改善，然后计算改善城市占总城市数的百分比。这是一个计算满足特定条件的观测所占比例的描述性统计问题。现有'描述性统计量'下的子类目（集中趋势测度、分散程度测度、分布范围测度、分位数/百分位数等）均侧重于连续变量的位置或散布特征，不涵盖'满足某条件的样本频率/比例'这类最基础的描述性汇总。'其它（如 reliability）'虽为兜底类，但其示例（Cronbach's alpha 等）与简单比例计算差异较大。频率与比例是统计学中极为基础且高频的描述性汇总方式，建议在'描述性统计量'下新增'频率与比例'二级类目，用于覆盖'计算满足某条件的观测数占比、频率分布、样本比例'等问题。
213,book1_r1\record_091.json,假设检验与区间估计\均值检验,,该问题要求对配对数据（BEFORE 和 AFTER）计算均值差异并构造95%置信区间。这本质上是配对样本均值检验/区间估计的问题，属于'均值检验'二级类目，该类目涵盖单样本、双样本、配对t检验及相应的置信区间估计。
244,book1_r1\record_102.json,假设检验与区间估计\均值检验,,该问题要求对两个总体均值是否相等进行假设检验（H0: μ1=μ2），并计算双侧P值。这是一个典型的双样本均值检验问题（两独立样本t检验），完全符合'假设检验与区间估计'下的'均值检验'二级类目定义：'比较一个或多个总体均值是否等于某给定值或彼此相等的问题，包括单样本、双样本、配对t检验等'。
245,book1_r1\record_103.json,数学计算\达到指定概率所需的最小样本量,,该问题的核心是：在给定效应量（均值差 0.25、标准差 0.67）、显著性水平 α=0.05 和目标检验功效 90% 的条件下，反推所需的最小样本量。这正是'达到指定概率所需的最小样本量'所描述的问题结构——给定一个概率目标（此处为 90% power，即以 90% 的概率检测到真实差异），求满足该概率要求的最小样本量。虽然该类目描述中的示例偏向简单概率场景，但类目名称与定义（'在给定成功概率目标、置信要求……下，反推所需最小样本量'）足以涵盖假设检验功效分析中的样本量计算，因为 power 本质上就是'成功概率目标'。
247,book1_r1\record_104.json,假设检验与区间估计\均值检验,,该问题的核心是判断在给定实验场景下应使用哪种 t 检验（单样本、配对样本还是独立样本）。题目描述中，同一批十个样本分别用两种试剂盒测量后进行比较，属于配对 t 检验的典型情境。'均值检验'二级类目的定义明确涵盖了'单样本、双样本、配对 t 检验等'，与本题讨论的统计方法完全吻合。虽然问题形式是'选择正确的检验类型'，但其所涉及的统计方法域仍然是均值比较检验，因此'均值检验'是最合适的类目。
250,book1_r1\record_106.json,假设检验与区间估计\均值检验,,该问题给出了两组的均值和标准误，要求检验两组均值是否相等（H0: μ1 = μ2），并计算检验统计量。这是一个典型的双样本均值检验问题，属于'假设检验与区间估计'下的'均值检验'二级类目。虽然背景涉及生存时间，但问题本身并未使用生存分析方法（如KM曲线、Cox模型等），而是直接基于均值和标准误进行z/t检验统计量的计算，因此归入'均值检验'最为合适。
251,book1_r1\record_106.json,假设检验与区间估计\均值检验,,该问题给出了两组的均值和标准误，要求检验两组均值是否相等（H0: μ1 = μ2）并求P值，这是一个典型的双样本均值检验问题（如两样本z检验或t检验），属于'假设检验与区间估计'下的'均值检验'二级类目。
253,book1_r1\record_107.json,假设检验与区间估计\均值检验,,该问题要求计算两个独立总体均值之差 μ1−μ2 的 95% 置信区间，属于经典的双样本均值推断问题。在 taxonomy 中，'假设检验与区间估计'大类下的'均值检验'涵盖'比较一个或多个总体均值是否等于某给定值或彼此相等的问题，包括单样本、双样本、配对 t 检验等'。置信区间与假设检验互为对偶，构造 μ1−μ2 的置信区间本质上是双样本 t 推断的区间估计形式，且该大类标题本身即为'假设检验与区间估计'，因此'均值检验'是最贴切的二级类目。
256,book1_r1\record_108.json,假设检验与区间估计\均值检验,,该问题来自一个随机对照实验，比较两组（echinacea组和placebo组）的症状严重程度均值是否存在显著差异，需要计算双样本均值比较的检验统计量（如两样本t检验的t值）。这属于'假设检验与区间估计'下的'均值检验'二级类目，即比较两个总体均值是否相等的问题。
259,book1_r1\record_109.json,数据可视化\离散型-连续型变量关系,,该问题要求用并列箱线图（side-by-side boxplots）展示两个组（treatment vs. placebo，离散型分类变量）在血压变化量（连续型变量）上的分布差异。这正是'离散型-连续型变量关系'类目的典型场景：展示连续变量在不同类别水平下的分布差异，形式为分组箱线图。
301,book1_r1\record_121.json,假设检验与区间估计\比例检验,,"该问题的核心是将样本比例（6.4%）与一个已知的总体比例（7.5%）进行比较，使用双侧z检验来判断两者是否存在显著差异。这属于单样本比例检验的经典场景：检验样本量是否满足正态近似条件（np≥5, n(1-p)≥5）并计算z检验统计量。这完全符合'假设检验与区间估计\比例检验'的定义，即'比较一个或多个总体比例与某给定值或彼此之间大小关系的问题'。"
303,book1_r1\record_121.json,假设检验与区间估计\比例检验,,该问题是将观测到的样本比例（6.4%）与已知的总体比例（7.5%）进行比较，使用双侧备择假设检验观测比例是否显著不同于先前的总体比例，属于典型的单样本比例检验问题。问题还要求在不同显著性水平下评估结果的显著性，这进一步确认了其属于比例检验的范畴。
308,book1_r1\record_123.json,假设检验与区间估计\比例检验,,该问题要求使用 plus-four 方法计算调整样本量 n~ 和调整比例 p~，这是构造总体比例（prevalence）置信区间的核心步骤。现有 taxonomy 中'假设检验与区间估计'部分仅包含'独立性检验''均值检验''方差分析''似然比检验''随机性'五个二级类目，均聚焦于假设检验，缺少专门针对比例参数（proportion）进行点估计与区间估计的类目。'均值检验'面向均值而非比例；'获取模型参数估计值'侧重于回归系数或分布参数的数值求解，而非比例置信区间方法（如 Wald、Wilson、plus-four 等）。因此建议在'假设检验与区间估计'下新增'比例的估计与置信区间'类目，以涵盖总体比例的点估计、各类置信区间构造方法及相关检验问题。
310,book1_r1\record_123.json,假设检验与区间估计\比例检验,,该问题要求使用plus-four方法计算总体比例（prevalence）的95%置信区间，属于对单个总体比例的区间估计问题。在现有taxonomy中，'比例检验'类目涵盖了关于总体比例的假设检验及其对应的区间估计方法（包括单样本比例的置信区间），因此最为合适。
313,book1_r1\record_125.json,假设检验与区间估计\比例检验,,该问题是关于单样本比例的假设检验：在41例病例中，26例肿瘤发生在使用手机的同侧，需要检验该比例是否显著偏离0.5（即是否有显著的同侧偏好）。这属于单样本比例检验（二项检验/符号检验），计算检验统计量来判断观察到的比例是否显著不同于假设值。这正好对应'假设检验与区间估计'下的'比例检验'二级类目。
317,book1_r1\record_126.json,假设检验与区间估计\比例检验,,该问题的核心是将观测到的癌症发病比例与基于国家统计数据的期望比例进行比较，判断观测发病率是否显著高于期望值。这属于单样本比例检验（one-sample proportion test），需要检查正态近似条件（np₀和n(1-p₀)是否足够大）并计算检验统计量。这完全符合'比例检验'二级类目的定义：'比较一个或多个总体比例与某给定值或彼此之间大小关系的问题'。
318,book1_r1\record_126.json,假设检验与区间估计\比例检验,,该问题是一个单样本比例检验问题：在原假设下，癌症死亡率 p0=14.4/556，观测到26例癌症死亡，需要检验观测发病率是否显著高于预期比例，并计算p值。这属于将观测比例与给定总体比例进行比较的单样本比例检验（单侧），完全符合'比例检验'二级类目的定义。
320,book1_r1\record_127.json,假设检验与区间估计\比例检验,,该问题要求检验肾癌患者5年生存率（样本比例16/40=0.40）是否显著高于历史比例（0.20），属于单样本比例检验（单侧）。题目要求计算检验统计量并解释为何可以使用z检验（因为np和n(1-p)均满足正态近似条件），这正是比例检验的典型问题。
321,book1_r1\record_127.json,假设检验与区间估计\比例检验,,该问题要求检验肾癌患者5年生存率是否显著高于历史比例（1/5=0.2），属于单样本比例检验（单侧）。样本量n=40，观测到16例存活，需要计算P值并判断是否有显著改善。这正是'比例检验'二级类目所描述的'比较一个总体比例与某给定值大小关系'的问题。
323,book1_r1\record_128.json,数学计算\达到指定概率所需的最小样本量,,该问题要求在给定置信水平（95%）和最大允许误差（6%）的条件下，反推估计总体比例所需的最小样本量。这正是'达到指定概率所需的最小样本量'类目的典型场景：在给定置信要求和精度目标下，反推所需最小样本量。
324,book1_r1\record_129.json,假设检验与区间估计\比例检验,,该问题要求根据样本数据构建总体比例的95%置信区间。在现有taxonomy中，'假设检验与区间估计'大类下的'比例检验'二级类目明确说明包含关于比例的区间估计方法（taxonomy注释指出假设检验和区间估计是一体两面，二级类目虽以'检验'命名但也包含对应的区间估计方法）。本题是单样本比例的置信区间估计，属于'比例检验'类目的覆盖范围。
326,book1_r1\record_130.json,假设检验与区间估计\比例检验,,该问题要求对一个样本比例（24.2%）与已知总体比例（2.5%）进行单侧精确二项检验，判断观测到的比例是否显著高于预期。这属于典型的单样本比例检验问题，使用精确二项检验方法，完全符合'比例检验'二级类目的定义：'比较一个或多个总体比例与某给定值或彼此之间大小关系的问题'。
328,book1_r1\record_131.json,假设检验与区间估计\比例检验,,该问题要求对总体比例（自发改善的患者比例 20/75）构建 95% 置信区间，属于单样本比例的区间估计问题。在现有 taxonomy 中，'假设检验与区间估计'大类下的'比例检验'二级类目明确说明包含关于比例的假设检验及对应的区间估计方法，因此最为贴切。
329,book1_r1\record_132.json,描述性统计量\频率与比例测度,,该问题要求计算两组的风险（risk = 事件发生比例）以及风险差（risk difference），属于流行病学/生物统计中经典的风险度量与效应量比较问题。现有taxonomy中没有直接对应的二级类目：'事件发生概率及独立性'侧重概率规则与独立性判断；'描述性统计量'中的各类目侧重集中趋势、分散程度等；'contingency table'侧重列联表的关联模式；'分类或发生概率影响因素解读'侧重模型参数解读（如OR、HR）。而本题核心是直接从2×2表中计算各组风险比例及其差值，是一种独立的效应量计算，建议新增'风险度量与比较（风险差、相对风险、优势比）'类目。
330,book1_r1\record_132.json,假设检验与区间估计\比例检验,,"该问题要求计算两组比例之差（风险差, risk difference）的95%置信区间，使用的是plus-four方法。这属于比例的区间估计问题。在现有taxonomy中，'假设检验与区间估计'下的'比例检验'二级类目明确说明包含'比较一个或多个总体比例与某给定值或彼此之间大小关系的问题'，且注释指出也包含关于比例衍生量（如风险比、优势比等）的检验。由于假设检验与区间估计是一体两面，比例的置信区间估计自然归入'比例检验'类目。风险差（risk difference）是两个比例之差，属于比例的衍生量，因此该问题最适合归入此类。"
360,book1_r1\record_143.json,关联分析\contingency table,,本题要求根据一张交叉列联表（行变量为皮肤损伤程度，列变量为治疗反应等级），计算高皮肤损伤组的条件百分比（即行百分比）。这属于对列联表中两个分类变量的联合分布进行分析，具体操作是计算条件比例表。'contingency table'二级类目的定义明确包含'频数表、比例表、优势比展示等'，与本题计算条件百分比的需求完全吻合。
362,book1_r1\record_143.json,假设检验与区间估计\独立性检验,,该问题给出了一个二维列联表（皮肤损伤程度 × 治疗反应），要求评估高皮肤损伤组与低皮肤损伤组的治疗反应是否存在差异。这本质上是检验两个分类变量（皮肤损伤水平与治疗反应）之间是否独立的问题，适用卡方独立性检验等方法。虽然响应变量具有有序性质，但问题的核心仍是判断行变量与列变量之间是否存在关联/独立性，属于'独立性检验'这一二级类目。
365,book1_r1\record_145.json,假设检验与区间估计\独立性检验,,该问题要求对列联表数据使用卡方统计量检验CMV血清学状态与动脉再狭窄之间的关联是否具有统计显著性，这正是经典的卡方独立性检验问题，属于'假设检验与区间估计'下的'独立性检验'二级类目。
368,book1_r1\record_147.json,模型解读\分类或发生概率影响因素解读,,该问题要求对病例-对照研究中各类型颅内肿瘤的优势比（OR）及其95%置信区间进行解读和评论，判断手机使用与颅内肿瘤之间是否存在显著关联。核心统计任务是解释二分类结局（肿瘤有/无）模型中暴露因素对事件发生概率的影响，包括OR是否显著偏离1、置信区间是否包含1等。这正符合'分类或发生概率影响因素解读'的定义，该类目明确涵盖了'Logistic回归中优势比（OR）解释'。
369,book1_r1\record_147.json,模型解读\分类或发生概率影响因素解读,,该问题的核心任务是根据病例对照研究给出的优势比（OR）及其 95% 置信区间，判断手机使用是否与脑肿瘤发生存在关联。学生需要解读各肿瘤类型的 OR 值（均接近 1.0）以及所有置信区间均包含 1.0 这一事实，从而得出结果不支持因果理论的结论。这恰好属于'分类或发生概率影响因素解读'的定义范畴——'在二分类或事件发生模型中，根据模型参数解释变量如何影响某事件发生概率的问题，包括 Logistic 回归中优势比（OR）解释'。虽然问题使用了'causes'这一因果措辞，但实际所需的统计分析操作是对 OR 和 CI 的解读，而非运用特定因果推断方法（如倾向得分匹配、工具变量等），因此归入模型解读下的该二级类目最为贴切。
370,book1_r1\record_148.json,关联分析\contingency table,,题目要求将病例-对照研究的数据整理为 2×2 列联表，即按两个分类变量（肺癌/对照 × 吸烟/不吸烟）展示频数的联合分布。这正是关联分析中 'contingency table' 二级类目的典型应用场景。
371,book1_r1\record_148.json,关联分析\contingency table,,本题要求根据病例-对照研究中吸烟与否、患病与否的2×2列联表数据计算优势比（OR）。优势比是列联表分析中衡量两个分类变量关联强度的经典指标，而'contingency table'类目的定义明确包含'优势比展示'，与本题完全吻合。
373,book1_r1\record_149.json,关联分析\contingency table,,本题要求根据病例-对照研究的列联表，计算各秃发等级对应的优势比（odds ratio）并进行解释。数据以两个分类变量（秃发等级 × 病例/对照）的交叉列联表形式给出，核心任务是从列联表中计算优势比以衡量暴露因素与疾病之间的关联强度。关联分析下的'contingency table'类目明确定义为'用列联表研究两个或多个分类变量联合分布与关联模式的问题，包括频数表、比例表、优势比展示等'，其中'优势比展示'正是本题核心操作。虽然'模型解读 > 分类或发生概率影响因素解读'也涉及OR解释，但该类目侧重于在已建模（如Logistic回归）后的参数解读，而本题是直接从列联表计算OR，无需建模，因此'contingency table'更为贴切。
